Gene	Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-48-Fraction-01	Grad-48-Fraction-02	Grad-48-Fraction-03	Grad-48-Fraction-04	Grad-48-Fraction-05	Grad-48-Fraction-06	Grad-48-Fraction-07	Grad-48-Fraction-08	Grad-48-Fraction-09	Grad-48-Fraction-10	Grad-48-Fraction-11	Grad-48-Fraction-12	Grad-48-Fraction-13	Grad-48-Fraction-14	Grad-48-Fraction-15	Grad-48-Fraction-16	Grad-48-Fraction-17	Grad-48-Fraction-18	Grad-48-Fraction-19	Grad-48-Fraction-20	Grad-48-Fraction-21P	Cluster_label
yaaW	sense	NC_000913.3	RefSeq	CDS	10643	11356	.	-	0	ID=cds10;Parent=gene10;Dbxref=ASAP:ABE-0000037,UniProtKB/Swiss-Prot:P75617,Genbank:NP_414552.1,EcoGene:EG14340,GeneID:944771;Name=NP_414552.1;gbkey=CDS;gene=yaaW;product=UPF0174 family protein;protein_id=NP_414552.1;transl_table=11	0.009577715273805468	0.04904368521680744	0.10559761444805232	0.4133215460500005	0.42473253715170173	0.7490795704175901	0.08112672502657213	0.0350988710654211	0.6210071969422292	0.5436610659123083	0.4546700162575481	0.4223369974501181	0.11998914941034512	0.09137526195660793	0.09985818031858704	0.0	0.03093424031711768	0.06910590503605514	0.03479039912533586	0.020372232249872727	1.0	1
dnaK	sense	NC_000913.3	RefSeq	CDS	12163	14079	.	+	0	ID=cds12;Parent=gene12;Dbxref=ASAP:ABE-0000052,UniProtKB/Swiss-Prot:P0A6Y8,Genbank:NP_414555.1,EcoGene:EG10241,GeneID:944750;Name=NP_414555.1;Note=chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins;Ontology_term=GO:0005737,GO:0006457,GO:0006970;gbkey=CDS;gene=dnaK;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||,response to osmotic stress|0006970||;product=chaperone Hsp70%2C with co-chaperone DnaJ;protein_id=NP_414555.1;transl_table=11	0.0002822114049956096	0.003655378058707085	0.016365430242298785	0.025142942561681408	0.022054121746379454	0.032709121981755754	0.006785826679949466	0.0011897694363580422	0.03151277496781419	0.045073804825409625	0.04240688093815436	0.03235947351573765	0.022787181039661358	0.019364470039215268	0.021886617643029103	0.022570895304774928	0.022226224329724875	0.027806791263824626	0.015285085311750947	0.008828010691297943	1.0	0
dnaJ	sense	NC_000913.3	RefSeq	CDS	14168	15298	.	+	0	ID=cds13;Parent=gene13;Dbxref=ASAP:ABE-0000054,UniProtKB/Swiss-Prot:P08622,Genbank:NP_414556.1,EcoGene:EG10240,GeneID:944753;Name=NP_414556.1;Note=chaperone with DnaK%3B heat shock protein;Ontology_term=GO:0005737,GO:0006457;gbkey=CDS;gene=dnaJ;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||;product=chaperone Hsp40%2C DnaK co-chaperone;protein_id=NP_414556.1;transl_table=11	0.00024211213048872348	0.003767793244871074	0.020600570882666817	0.033502472624950964	0.029934340966238045	0.04886835633671041	0.011452032692605195	0.001938456256439295	0.049227666596986616	0.053777119096365865	0.047280805342916864	0.035559462220541016	0.025864359161050003	0.02299804442085766	0.02738299763328814	0.02891650809260605	0.03233305664799063	0.04169791066942375	0.0219863960558136	0.01090701294442373	1.0	0
insL1	sense	NC_000913.3	RefSeq	CDS	15445	16557	.	+	0	ID=cds14;Parent=gene14;Dbxref=ASAP:ABE-0000058,UniProtKB/Swiss-Prot:P0CF91,Genbank:NP_414557.1,EcoGene:EG40012,GeneID:944754;Name=NP_414557.1;gbkey=CDS;gene=insL1;product=IS186 transposase;protein_id=NP_414557.1;transl_table=11	0.0013935243931864794	0.015539939057150075	0.06714675098852302	0.10356902481853407	0.1070005564148538	0.19635226614872198	0.03967340421334103	0.006809018867194871	0.2016241611319364	0.2540813631578408	0.20750528899727075	0.14484305801695715	0.09698891984669966	0.08567749735423323	0.1038555824560521	0.10762687167752903	0.10651952035293902	0.13778621558381995	0.06018015922604275	0.02840585501353493	1.0	3
mokC	sense	NC_000913.3	RefSeq	CDS	16751	16960	.	-	0	ID=cds15;Parent=gene15;Dbxref=ASAP:ABE-0000064,UniProtKB/Swiss-Prot:P33236,Genbank:NP_414559.1,EcoGene:EG12074,GeneID:944756;Name=NP_414559.1;Note=regulatory peptide whose translation enables hokC (gef) expression~completely contained in another CDS;gbkey=CDS;gene=mokC;product=regulatory protein for HokC%2C overlaps CDS of hokC;protein_id=NP_414559.1;transl_table=11	0.0018916369483703843	0.03874529337663151	0.5005427957024815	1.0	0.9017784699105296	0.9510827231656024	0.22632277894041836	0.04297943513910322	0.9301064276770532	0.8980473600802459	0.9394371649145686	0.47068900082799797	0.3673241978969773	0.21656374207348733	0.15777910959979385	0.05057234494736328	0.10997344408911568	0.09554084215889004	0.016032899213385094	0.019112086147797854	0.25393369695969714	1
hokC	sense	NC_000913.3	RefSeq	CDS	16751	16903	.	-	0	ID=cds16;Parent=gene16;Dbxref=ASAP:ABE-0047278,UniProtKB/Swiss-Prot:P0ACG4,Genbank:YP_025292.1,EcoGene:EG10373,GeneID:2847744;Name=YP_025292.1;Note=small toxic membrane polypeptide~completely contained in another CDS;gbkey=CDS;gene=hokC;product=toxic membrane protein%2C small;protein_id=YP_025292.1;transl_table=11	0.0007616233694183273	0.04211969240360339	0.4366523380787883	0.9695906087116506	0.945696762785396	0.9956211497011276	0.2298249406434079	0.041866123098380816	1.0	0.86071228376578	0.9678555524254506	0.4749792328994441	0.36496545003731096	0.2252520063505611	0.16675592803336114	0.040723543480559087	0.10331588129546172	0.09342054994384552	0.016599270440445284	0.0170100761104414	0.2044809264842386	1
sokC	sense	NC_000913.3	RefSeq	ncRNA	16952	17006	.	+	.	ID=rna0;Parent=gene17;Dbxref=ASAP:ABE-0047238,EcoGene:EG31128,GeneID:2847745;Note=IS186A interrupts hokC transcript downstream of hokC gene in K-12;function=component of addiction module;gbkey=ncRNA;gene=sokC;product=sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation	0.05843924219415988	0.15289550438829802	0.18858872478979252	0.1676266389670176	0.0768579402769967	0.09429177757010193	0.01936481647652978	0.002317127341575344	0.032187824315400015	0.03505502515271031	0.024806625984433638	0.018598628492542214	0.013093126202220041	0.015787100338047352	0.02052164734528509	0.025612386324123583	0.02666661714008741	0.028780661411482562	0.016577186800692638	0.009086523698355156	1.0	0
nhaA	sense	NC_000913.3	RefSeq	CDS	17489	18655	.	+	0	ID=cds17;Parent=gene18;Dbxref=ASAP:ABE-0000068,UniProtKB/Swiss-Prot:P13738,Genbank:NP_414560.1,EcoGene:EG10652,GeneID:944758;Name=NP_414560.1;Note=Na+/H antiporter%2C pH dependent;Ontology_term=GO:0009274,GO:0019866,GO:0009268;experiment=N-terminus verified by Edman degradation: PMID 8381959;gbkey=CDS;gene=nhaA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=response to pH|0009268||;product=sodium-proton antiporter;protein_id=NP_414560.1;transl_table=11	0.0009267114193687377	0.007884535039639855	0.044013040790682086	0.06806291806963725	0.08337718731699413	0.1475459759913435	0.029096287544418512	0.004780611784668201	0.15426135713517095	0.16332691439325836	0.14095830340851725	0.09362813819069604	0.04320183489535153	0.05304720151866873	0.053512517682687784	0.06336772495232892	0.0638912937969177	0.10286897081390453	0.04958695377725968	0.022630398344555592	1.0	0
nhaR	sense	NC_000913.3	RefSeq	CDS	18715	19620	.	+	0	ID=cds18;Parent=gene19;Dbxref=ASAP:ABE-0000072,UniProtKB/Swiss-Prot:P0A9G2,Genbank:NP_414561.1,EcoGene:EG11078,GeneID:944757;Name=NP_414561.1;Note=transcriptional activator of nhaA;Ontology_term=GO:0005737,GO:0006350,GO:0009268,GO:0016563;gbkey=CDS;gene=nhaR;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||;go_process=transcription|0006350||,response to pH|0009268||;product=transcriptional activator of nhaA;protein_id=NP_414561.1;transl_table=11	0.002518084766822095	0.016439995889577702	0.10063997996692313	0.1494167091354462	0.12911470319517693	0.2057331214527184	0.03799244517089468	0.004152542492247002	0.17347384139935507	0.1997832598166869	0.2241331066058335	0.0981487388440415	0.05619210166047851	0.07807651491128	0.03281724235822109	0.058905209110615614	0.08539593101626851	0.08175909891589621	0.036587086404109084	0.01807676946115467	1.0	3
insB1	sense	NC_000913.3	RefSeq	CDS	19811	20314	.	-	0	ID=cds19;Parent=gene20;Dbxref=ASAP:ABE-0000075,UniProtKB/Swiss-Prot:P0CF25,Genbank:NP_414562.1,EcoGene:EG40002,GeneID:944743;Name=NP_414562.1;gbkey=CDS;gene=insB1;product=IS1 transposase B;protein_id=NP_414562.1;transl_table=11	0.012634567850930506	0.06688802646494099	0.15506109773539978	0.3679306187473963	0.4442367097457092	0.7679776843315806	0.1592317454559088	0.03119713720602308	0.6807558035610247	0.7583214759442126	0.5829241726114843	0.4985153831642032	0.20914676032997087	0.15933493235103385	0.12015778391930625	0.15393620498806	0.11235630710333323	0.10051518408303448	0.06618054470087731	0.036232140511146316	1.0	1
insA	sense	NC_000913.3	RefSeq	CDS	20233	20508	.	-	0	ID=cds20;Parent=gene21;Dbxref=ASAP:ABE-0000078,UniProtKB/Swiss-Prot:P0CF07,Genbank:NP_414563.1,EcoGene:EG40001,GeneID:948449;Name=NP_414563.1;gbkey=CDS;gene=insA;product=IS1 repressor TnpA;protein_id=NP_414563.1;transl_table=11	0.006770335954770684	0.047820624466304265	0.18982158944625996	0.3697236281761074	0.28394260364417434	0.6561699978546721	0.1387307781951641	0.0242047414950742	0.7443317677541484	0.84937622364426	0.6871327516810327	0.3983208009575709	0.2182528858278989	0.14570039297317053	0.10572864089442847	0.13181304457401158	0.13159416653115066	0.1215931327278538	0.07201216947683667	0.03436450055137588	1.0	1
rpsT	sense	NC_000913.3	RefSeq	CDS	20815	21078	.	-	0	ID=cds21;Parent=gene22;Dbxref=ASAP:ABE-0000082,UniProtKB/Swiss-Prot:P0A7U7,Genbank:NP_414564.1,EcoGene:EG10919,GeneID:944759;Name=NP_414564.1;Ontology_term=GO:0005737,GO:0006412,GO:0003735;gbkey=CDS;gene=rpsT;go_component=cytoplasm|0005737||;go_function=structural constituent of ribosome|0003735||;go_process=translation|0006412||;product=30S ribosomal subunit protein S20;protein_id=NP_414564.1;transl_table=11	0.003931592998197922	0.033059076701699816	0.13232293662317662	0.1518063703084878	0.14223296383012232	0.18033397065608645	0.029577451832604414	0.0061423024364486885	0.15429345479583156	0.2082203577357746	0.17001549753220274	0.17010795730629746	0.10693477435875658	0.18754490494180326	0.18553896466601646	0.2212841188811486	0.1744347440104135	0.1821495151258983	0.081177597959117	0.03763204012823712	1.0	3
yaaY	sense	NC_000913.3	RefSeq	CDS	21181	21399	.	+	0	ID=cds22;Parent=gene23;Dbxref=ASAP:ABE-0000089,UniProtKB/Swiss-Prot:P75620,Genbank:NP_414565.1,EcoGene:EG14386,GeneID:949128;Name=NP_414565.1;gbkey=CDS;gene=yaaY;product=uncharacterized protein;protein_id=NP_414565.1;transl_table=11	0.0	0.017165289825882602	0.041065738952020335	0.18082817639687515	0.289054087783797	0.4369630827435942	0.11239431696389676	0.018426907309346083	0.21131494895950848	0.7495932878487885	0.5100464925966084	0.3695448727688533	0.2274794290904459	0.17767412047118206	0.11650121037168484	0.17426124361890452	0.09022486759159323	0.18812163037592786	0.047353598809484934	0.06238996126523521	1.0	4
ribF	sense	NC_000913.3	RefSeq	CDS	21407	22348	.	+	0	ID=cds23;Parent=gene24;Dbxref=ASAP:ABE-0000091,UniProtKB/Swiss-Prot:P0AG40,Genbank:NP_414566.1,EcoGene:EG11079,GeneID:949129;Name=NP_414566.1;Ontology_term=GO:0005737;gbkey=CDS;gene=ribF;go_component=cytoplasm|0005737||;product=bifunctional riboflavin kinase/FAD synthetase;protein_id=NP_414566.1;transl_table=11	0.0016691454004142306	0.02307698715180897	0.09712643652552527	0.2120916923714387	0.22411543972804185	0.2968344355804142	0.06980769544558252	0.010704427482607677	0.25853826594690305	0.2871088239446366	0.22145753105937385	0.15947164634008604	0.10455486048204346	0.10085402357036392	0.08411290707333262	0.11032069246294607	0.09434301507502693	0.1110664753138258	0.05658853301714381	0.031805196614168516	1.0	3
ileS	sense	NC_000913.3	RefSeq	CDS	22391	25207	.	+	0	ID=cds24;Parent=gene25;Dbxref=ASAP:ABE-0000094,UniProtKB/Swiss-Prot:P00956,Genbank:NP_414567.1,EcoGene:EG10492,GeneID:944761;Name=NP_414567.1;Note=isoleucine tRNA synthetase;Ontology_term=GO:0005737,GO:0006418;gbkey=CDS;gene=ileS;go_component=cytoplasm|0005737||;go_process=tRNA aminoacylation for protein translation|0006418||;product=isoleucyl-tRNA synthetase;protein_id=NP_414567.1;transl_table=11	0.0006183386361554176	0.007306770390847213	0.03239271942875475	0.05668396885088689	0.04920328493990258	0.07100803393447687	0.013713710476413838	0.002803657366211355	0.06067224046746484	0.06530762134574987	0.054191187268417665	0.03896314637575991	0.028774411689391457	0.02537703056631618	0.028228845997068368	0.0300298634807767	0.03180027749691911	0.037038260934244574	0.020174786133257967	0.010436266324468198	1.0	0
lspA	sense	NC_000913.3	RefSeq	CDS	25207	25701	.	+	0	ID=cds25;Parent=gene26;Dbxref=ASAP:ABE-0000096,UniProtKB/Swiss-Prot:P00804,Genbank:NP_414568.1,EcoGene:EG10548,GeneID:944800;Name=NP_414568.1;Note=prolipoprotein signal peptidase (SPase II);Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=lspA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=prolipoprotein signal peptidase (signal peptidase II);protein_id=NP_414568.1;transl_table=11	0.003501442142050457	0.019340343673682796	0.055059030136013584	0.08690486559712837	0.0712736106864157	0.09491761679948914	0.01890120723275337	0.0035759979938228678	0.0601689336078444	0.0506508636283494	0.04569457618605231	0.030554346134019663	0.02121383506270228	0.018254190459368016	0.021744232757728847	0.027111093674565385	0.030589937984820983	0.04721447963935958	0.02383896926367905	0.011446299155803913	1.0	0
fkpB	sense	NC_000913.3	RefSeq	CDS	25826	26275	.	+	0	ID=cds26;Parent=gene27;Dbxref=ASAP:ABE-0000101,UniProtKB/Swiss-Prot:P0AEM0,Genbank:NP_414569.1,EcoGene:EG11080,GeneID:944807;Name=NP_414569.1;Ontology_term=GO:0005737,GO:0006457;gbkey=CDS;gene=fkpB;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||;product=FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase);protein_id=NP_414569.1;transl_table=11	0.0013544243821543085	0.012137073614260429	0.08088706157216127	0.09863355076193196	0.09635136259459903	0.13430467045365885	0.031907796522445984	0.005832085141678556	0.14087663263967234	0.1520154220112928	0.16197840128522595	0.1013182190852556	0.07211469080722761	0.0796841509991968	0.06354611474819173	0.057332703528297585	0.06452445076247272	0.07003662429580003	0.0450986655328428	0.01998639451786756	1.0	3
ispH	sense	NC_000913.3	RefSeq	CDS	26277	27227	.	+	0	ID=cds27;Parent=gene28;Dbxref=ASAP:ABE-0000103,UniProtKB/Swiss-Prot:P62623,Genbank:NP_414570.1,EcoGene:EG11081,GeneID:944777;Name=NP_414570.1;Ontology_term=GO:0005737,GO:0042493;gbkey=CDS;gene=ispH;go_component=cytoplasm|0005737||;go_process=response to drug|0042493||;product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein;protein_id=NP_414570.1;transl_table=11	0.0008226258517378928	0.010952086760072331	0.03552312387874152	0.06656251891909516	0.06232016265978445	0.09191160373221964	0.021992559276758614	0.0038436493774096103	0.08889673575860127	0.09020589353536626	0.07059293787103978	0.06607112536796324	0.056681990825745834	0.054283258892422484	0.06289635897367034	0.07972337350488007	0.06908014402104808	0.10535470798441536	0.058517593620835875	0.02559027333227877	1.0	0
rihC	sense	NC_000913.3	RefSeq	CDS	27293	28207	.	+	0	ID=cds28;Parent=gene29;Dbxref=ASAP:ABE-0000109,UniProtKB/Swiss-Prot:P22564,Genbank:NP_414571.1,EcoGene:EG11082,GeneID:944796;Name=NP_414571.1;Ontology_term=GO:0009226;gbkey=CDS;gene=rihC;go_process=nucleotide-sugar biosynthetic process|0009226||;product=ribonucleoside hydrolase 3;protein_id=NP_414571.1;transl_table=11	0.00023575304945348027	0.004196788204404434	0.017736118095318748	0.027454314091489587	0.023984276066276674	0.03486253042588845	0.007774749361645194	0.0014026480276842185	0.037990046229323456	0.03563783931346302	0.036233398990046364	0.0273215215539403	0.01654830186562159	0.016207319707889394	0.01735047501657112	0.02048405735904148	0.018879196619227573	0.025665457129431583	0.016497464059330325	0.007732030127104191	1.0	0
dapB	sense	NC_000913.3	RefSeq	CDS	28374	29195	.	+	0	ID=cds29;Parent=gene30;Dbxref=ASAP:ABE-0000112,UniProtKB/Swiss-Prot:P04036,Genbank:NP_414572.1,EcoGene:EG10206,GeneID:944762;Name=NP_414572.1;Ontology_term=GO:0009274,GO:0005737,GO:0009089;gbkey=CDS;gene=dapB;go_component=peptidoglycan-based cell wall|0009274||,cytoplasm|0005737||;go_process=lysine biosynthetic process via diaminopimelate|0009089||;product=dihydrodipicolinate reductase;protein_id=NP_414572.1;transl_table=11	0.0001724050322510788	0.0029132989482693705	0.014731393336693887	0.026970194100980414	0.0284315496180784	0.047314090513357915	0.008761999231413764	0.0018717141464973828	0.046460760234106016	0.061720091203334715	0.0488700284516866	0.03706139514750312	0.025513604093520825	0.02302738841979447	0.026063915917291108	0.029671703693754787	0.027145765369891103	0.03514160776825432	0.02262326500499982	0.01021067281761943	1.0	0
