Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-00L.fastq	Grad-01.fastq	Grad-02.fastq	Grad-03.fastq	Grad-04.fastq	Grad-05.fastq	Grad-06.fastq	Grad-07.fastq	Grad-08.fastq	Grad-09.fastq	Grad-10.fastq	Grad-11.fastq	Grad-12.fastq	Grad-13.fastq	Grad-14.fastq	Grad-15.fastq	Grad-16.fastq	Grad-17.fastq	Grad-18.fastq	Grad-19.fastq	Grad-20.fastq	Grad-21P.fastq	gene	Name
sense	NC_000913.3	RefSeq	CDS	10643	11356	.	-	0	ID=cds10;Parent=gene10;Dbxref=ASAP:ABE-0000037,UniProtKB/Swiss-Prot:P75617,Genbank:NP_414552.1,EcoGene:EG14340,GeneID:944771;Name=NP_414552.1;gbkey=CDS;gene=yaaW;product=UPF0174 family protein;protein_id=NP_414552.1;transl_table=11	68.0	3.0	5.0	3.0	12.0	12.0	14.0	8.0	10.0	12.0	11.0	13.0	14.0	4.0	3.0	3.0	0.0	1.0	3.0	3.0	4.0	7.0	yaaW	NP_414552.1
sense	NC_000913.3	RefSeq	CDS	11382	11786	.	-	0	ID=cds11;Parent=gene11;Dbxref=ASAP:ABE-0000043,UniProtKB/Swiss-Prot:P28696,Genbank:NP_414554.1,EcoGene:EG11513,GeneID:944751;Name=NP_414554.1;gbkey=CDS;gene=yaaI;product=UPF0412 family protein;protein_id=NP_414554.1;transl_table=11	15.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	2.0	1.0	yaaI	NP_414554.1
sense	NC_000913.3	RefSeq	CDS	12163	14079	.	+	0	ID=cds12;Parent=gene12;Dbxref=ASAP:ABE-0000052,UniProtKB/Swiss-Prot:P0A6Y8,Genbank:NP_414555.1,EcoGene:EG10241,GeneID:944750;Name=NP_414555.1;Note=chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins;Ontology_term=GO:0005737,GO:0006457,GO:0006970;gbkey=CDS;gene=dnaK;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||,response to osmotic stress|0006970||;product=chaperone Hsp70%2C with co-chaperone DnaJ;protein_id=NP_414555.1;transl_table=11	3537.0	593.0	2500.0	3119.0	4897.0	4180.0	4101.0	4489.0	2274.0	4085.0	6118.0	8134.0	7196.0	5096.0	4265.0	4411.0	3548.0	4820.0	8098.0	8842.0	11628.0	46959.0	dnaK	NP_414555.1
sense	NC_000913.3	RefSeq	CDS	14168	15298	.	+	0	ID=cds13;Parent=gene13;Dbxref=ASAP:ABE-0000054,UniProtKB/Swiss-Prot:P08622,Genbank:NP_414556.1,EcoGene:EG10240,GeneID:944753;Name=NP_414556.1;Note=chaperone with DnaK%3B heat shock protein;Ontology_term=GO:0005737,GO:0006457;gbkey=CDS;gene=dnaJ;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||;product=chaperone Hsp40%2C DnaK co-chaperone;protein_id=NP_414556.1;transl_table=11	459.0	46.0	233.0	355.0	590.0	513.0	554.0	685.0	335.0	577.0	660.0	820.0	715.0	523.0	458.0	499.0	411.0	634.0	1098.0	1150.0	1299.0	4246.0	dnaJ	NP_414556.1
sense	NC_000913.3	RefSeq	CDS	15445	16557	.	+	0	ID=cds14;Parent=gene14;Dbxref=ASAP:ABE-0000058,UniProtKB/Swiss-Prot:P0CF91,Genbank:NP_414557.1,EcoGene:EG40012,GeneID:944754;Name=NP_414557.1;gbkey=CDS;gene=insL1;product=IS186 transposase;protein_id=NP_414557.1;transl_table=11	60.66666666666682	8.999999999999998	32.66666666666662	39.333333333333336	62.00000000000016	62.3333333333335	75.66666666666667	80.6666666666666	40.00000000000001	80.33333333333327	105.99999999999956	122.33333333333267	98.99999999999967	66.6666666666668	58.000000000000135	64.3333333333335	52.00000000000009	70.50000000000009	123.33333333333266	106.99999999999956	114.99999999999945	144.33333333333306	insL1	NP_414557.1
sense	NC_000913.3	RefSeq	CDS	16751	16960	.	-	0	ID=cds15;Parent=gene15;Dbxref=ASAP:ABE-0000064,UniProtKB/Swiss-Prot:P33236,Genbank:NP_414559.1,EcoGene:EG12074,GeneID:944756;Name=NP_414559.1;Note=regulatory peptide whose translation enables hokC (gef) expression~completely contained in another CDS;gbkey=CDS;gene=mokC;product=regulatory protein for HokC%2C overlaps CDS of hokC;protein_id=NP_414559.1;transl_table=11	38.0	3.0	20.0	72.0	147.0	129.0	90.0	113.0	62.0	91.0	92.0	136.0	79.0	62.0	36.0	24.0	6.0	18.0	21.0	7.0	19.0	9.0	mokC	NP_414559.1
sense	NC_000913.3	RefSeq	CDS	16751	16903	.	-	0	ID=cds16;Parent=gene16;Dbxref=ASAP:ABE-0047278,UniProtKB/Swiss-Prot:P0ACG4,Genbank:YP_025292.1,EcoGene:EG10373,GeneID:2847744;Name=YP_025292.1;Note=small toxic membrane polypeptide~completely contained in another CDS;gbkey=CDS;gene=hokC;product=toxic membrane protein%2C small;protein_id=YP_025292.1;transl_table=11	34.0	1.0	18.0	52.0	118.0	112.0	78.0	95.0	50.0	81.0	73.0	116.0	66.0	51.0	31.0	21.0	4.0	14.0	17.0	6.0	14.0	6.0	hokC	YP_025292.1
sense	NC_000913.3	RefSeq	ncRNA	16952	17006	.	+	.	ID=rna0;Parent=gene17;Dbxref=ASAP:ABE-0047238,EcoGene:EG31128,GeneID:2847745;Note=IS186A interrupts hokC transcript downstream of hokC gene in K-12;function=component of addiction module;gbkey=ncRNA;gene=sokC;product=sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation	1010.0	3355.0	2857.0	982.0	892.0	398.0	323.0	350.0	121.0	114.0	130.0	130.0	113.0	80.0	95.0	113.0	110.0	158.0	229.0	262.0	327.0	1283.0	sokC	
sense	NC_000913.3	RefSeq	CDS	17489	18655	.	+	0	ID=cds17;Parent=gene18;Dbxref=ASAP:ABE-0000068,UniProtKB/Swiss-Prot:P13738,Genbank:NP_414560.1,EcoGene:EG10652,GeneID:944758;Name=NP_414560.1;Note=Na+/H antiporter%2C pH dependent;Ontology_term=GO:0009274,GO:0019866,GO:0009268;experiment=N-terminus verified by Edman degradation: PMID 8381959;gbkey=CDS;gene=nhaA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=response to pH|0009268||;product=sodium-proton antiporter;protein_id=NP_414560.1;transl_table=11	222.0	26.0	72.0	112.0	177.0	211.0	247.0	257.0	122.0	267.0	296.0	361.0	278.0	129.0	156.0	144.0	133.0	185.0	400.0	383.0	398.0	627.0	nhaA	NP_414560.1
sense	NC_000913.3	RefSeq	CDS	18715	19620	.	+	0	ID=cds18;Parent=gene19;Dbxref=ASAP:ABE-0000072,UniProtKB/Swiss-Prot:P0A9G2,Genbank:NP_414561.1,EcoGene:EG11078,GeneID:944757;Name=NP_414561.1;Note=transcriptional activator of nhaA;Ontology_term=GO:0005737,GO:0006350,GO:0009268,GO:0016563;gbkey=CDS;gene=nhaR;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||;go_process=transcription|0006350||,response to pH|0009268||;product=transcriptional activator of nhaA;protein_id=NP_414561.1;transl_table=11	72.0	8.0	17.0	29.0	44.0	37.0	39.0	38.0	12.0	34.0	41.0	65.0	33.0	19.0	26.0	10.0	14.0	28.0	36.0	32.0	36.0	71.0	nhaR	NP_414561.1
sense	NC_000913.3	RefSeq	CDS	19811	20314	.	-	0	ID=cds19;Parent=gene20;Dbxref=ASAP:ABE-0000075,UniProtKB/Swiss-Prot:P0CF25,Genbank:NP_414562.1,EcoGene:EG40002,GeneID:944743;Name=NP_414562.1;gbkey=CDS;gene=insB1;product=IS1 transposase B;protein_id=NP_414562.1;transl_table=11	70.91904761904772	3.5595238095238093	5.728571428571429	3.771428571428571	9.369047619047617	10.954761904761902	12.426190476190463	13.614285714285703	7.742857142857146	11.709523809523803	12.926190476190468	14.816666666666656	14.338095238095232	6.052380952380954	4.511904761904763	3.0904761904761906	3.088095238095238	3.1095238095238096	3.7357142857142858	5.152380952380955	5.840476190476194	5.907142857142859	insB1	NP_414562.1
sense	NC_000913.3	RefSeq	CDS	20233	20508	.	-	0	ID=cds20;Parent=gene21;Dbxref=ASAP:ABE-0000078,UniProtKB/Swiss-Prot:P0CF07,Genbank:NP_414563.1,EcoGene:EG40001,GeneID:948449;Name=NP_414563.1;gbkey=CDS;gene=insA;product=IS1 repressor TnpA;protein_id=NP_414563.1;transl_table=11	14.62619047619046	4.566666666666666	10.384523809523806	11.328571428571422	22.75833333333335	16.978571428571406	26.533333333333363	28.82619047619052	14.697619047619026	30.96428571428576	36.25952380952383	41.6666666666667	27.911904761904797	15.23809523809522	10.028571428571428	6.488095238095241	6.364285714285717	8.945238095238098	11.142857142857135	13.314285714285706	14.147619047619036	14.669047619047603	insA	NP_414563.1
sense	NC_000913.3	RefSeq	CDS	20815	21078	.	-	0	ID=cds21;Parent=gene22;Dbxref=ASAP:ABE-0000082,UniProtKB/Swiss-Prot:P0A7U7,Genbank:NP_414564.1,EcoGene:EG10919,GeneID:944759;Name=NP_414564.1;Ontology_term=GO:0005737,GO:0006412,GO:0003735;gbkey=CDS;gene=rpsT;go_component=cytoplasm|0005737||;go_function=structural constituent of ribosome|0003735||;go_process=translation|0006412||;product=30S ribosomal subunit protein S20;protein_id=NP_414564.1;transl_table=11	46.0	19.0	52.0	58.0	68.0	62.0	52.0	45.0	27.0	46.0	65.0	75.0	87.0	55.0	95.0	86.0	80.0	87.0	122.0	108.0	114.0	108.0	rpsT	NP_414564.1
sense	NC_000913.3	RefSeq	CDS	21181	21399	.	+	0	ID=cds22;Parent=gene23;Dbxref=ASAP:ABE-0000089,UniProtKB/Swiss-Prot:P75620,Genbank:NP_414565.1,EcoGene:EG14386,GeneID:949128;Name=NP_414565.1;gbkey=CDS;gene=yaaY;product=uncharacterized protein;protein_id=NP_414565.1;transl_table=11	14.0	0.0	3.0	2.0	9.0	14.0	14.0	19.0	9.0	7.0	26.0	25.0	21.0	13.0	10.0	6.0	7.0	5.0	14.0	7.0	21.0	12.0	yaaY	NP_414565.1
sense	NC_000913.3	RefSeq	CDS	21407	22348	.	+	0	ID=cds23;Parent=gene24;Dbxref=ASAP:ABE-0000091,UniProtKB/Swiss-Prot:P0AG40,Genbank:NP_414566.1,EcoGene:EG11079,GeneID:949129;Name=NP_414566.1;Ontology_term=GO:0005737;gbkey=CDS;gene=ribF;go_component=cytoplasm|0005737||;product=bifunctional riboflavin kinase/FAD synthetase;protein_id=NP_414566.1;transl_table=11	86.0	18.0	81.0	95.0	212.0	218.0	191.0	237.0	105.0	172.0	200.0	218.0	182.0	120.0	114.0	87.0	89.0	105.0	166.0	168.0	215.0	241.0	ribF	NP_414566.1
sense	NC_000913.3	RefSeq	CDS	22391	25207	.	+	0	ID=cds24;Parent=gene25;Dbxref=ASAP:ABE-0000094,UniProtKB/Swiss-Prot:P00956,Genbank:NP_414567.1,EcoGene:EG10492,GeneID:944761;Name=NP_414567.1;Note=isoleucine tRNA synthetase;Ontology_term=GO:0005737,GO:0006418;gbkey=CDS;gene=ileS;go_component=cytoplasm|0005737||;go_process=tRNA aminoacylation for protein translation|0006418||;product=isoleucyl-tRNA synthetase;protein_id=NP_414567.1;transl_table=11	610.0	169.0	650.0	803.0	1436.0	1213.0	1158.0	1180.0	697.0	1023.0	1153.0	1352.0	1127.0	837.0	727.0	740.0	614.0	897.0	1403.0	1518.0	1788.0	6108.0	ileS	NP_414567.1
sense	NC_000913.3	RefSeq	CDS	25207	25701	.	+	0	ID=cds25;Parent=gene26;Dbxref=ASAP:ABE-0000096,UniProtKB/Swiss-Prot:P00804,Genbank:NP_414568.1,EcoGene:EG10548,GeneID:944800;Name=NP_414568.1;Note=prolipoprotein signal peptidase (SPase II);Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=lspA;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=prolipoprotein signal peptidase (signal peptidase II);protein_id=NP_414568.1;transl_table=11	157.0	184.0	329.0	261.0	421.0	336.0	296.0	311.0	170.0	194.0	171.0	218.0	169.0	118.0	100.0	109.0	106.0	165.0	342.0	343.0	375.0	1168.0	lspA	NP_414568.1
sense	NC_000913.3	RefSeq	CDS	25826	26275	.	+	0	ID=cds26;Parent=gene27;Dbxref=ASAP:ABE-0000101,UniProtKB/Swiss-Prot:P0AEM0,Genbank:NP_414569.1,EcoGene:EG11080,GeneID:944807;Name=NP_414569.1;Ontology_term=GO:0005737,GO:0006457;gbkey=CDS;gene=fkpB;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||;product=FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase);protein_id=NP_414569.1;transl_table=11	32.0	12.0	35.0	65.0	81.0	77.0	71.0	89.0	47.0	77.0	87.0	131.0	95.0	68.0	74.0	54.0	38.0	59.0	86.0	110.0	111.0	198.0	fkpB	NP_414569.1
sense	NC_000913.3	RefSeq	CDS	26277	27227	.	+	0	ID=cds27;Parent=gene28;Dbxref=ASAP:ABE-0000103,UniProtKB/Swiss-Prot:P62623,Genbank:NP_414570.1,EcoGene:EG11081,GeneID:944777;Name=NP_414570.1;Ontology_term=GO:0005737,GO:0042493;gbkey=CDS;gene=ispH;go_component=cytoplasm|0005737||;go_process=response to drug|0042493||;product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein;protein_id=NP_414570.1;transl_table=11	64.0	12.0	52.0	47.0	90.0	82.0	80.0	101.0	51.0	80.0	85.0	94.0	102.0	88.0	83.0	88.0	87.0	104.0	213.0	235.0	234.0	326.0	ispH	NP_414570.1
sense	NC_000913.3	RefSeq	CDS	27293	28207	.	+	0	ID=cds28;Parent=gene29;Dbxref=ASAP:ABE-0000109,UniProtKB/Swiss-Prot:P22564,Genbank:NP_414571.1,EcoGene:EG11082,GeneID:944796;Name=NP_414571.1;Ontology_term=GO:0009226;gbkey=CDS;gene=rihC;go_process=nucleotide-sugar biosynthetic process|0009226||;product=ribonucleoside hydrolase 3;protein_id=NP_414571.1;transl_table=11	237.0	34.0	197.0	232.0	367.0	312.0	300.0	353.0	184.0	338.0	332.0	477.0	417.0	254.0	245.0	240.0	221.0	281.0	513.0	655.0	699.0	3223.0	rihC	NP_414571.1
sense	NC_000913.3	RefSeq	CDS	28374	29195	.	+	0	ID=cds29;Parent=gene30;Dbxref=ASAP:ABE-0000112,UniProtKB/Swiss-Prot:P04036,Genbank:NP_414572.1,EcoGene:EG10206,GeneID:944762;Name=NP_414572.1;Ontology_term=GO:0009274,GO:0005737,GO:0009089;gbkey=CDS;gene=dapB;go_component=peptidoglycan-based cell wall|0009274||,cytoplasm|0005737||;go_process=lysine biosynthetic process via diaminopimelate|0009089||;product=dihydrodipicolinate reductase;protein_id=NP_414572.1;transl_table=11	169.0	8.0	44.0	62.0	116.0	119.0	131.0	128.0	79.0	133.0	185.0	207.0	182.0	126.0	112.0	116.0	103.0	130.0	226.0	289.0	297.0	1037.0	dapB	NP_414572.1
sense	NC_000913.3	RefSeq	CDS	29651	30799	.	+	0	ID=cds30;Parent=gene31;Dbxref=ASAP:ABE-0000118,UniProtKB/Swiss-Prot:P0A6F1,Genbank:NP_414573.1,EcoGene:EG10134,GeneID:949025;Name=NP_414573.1;Ontology_term=GO:0006526,GO:0006221;experiment=N-terminus verified by Edman degradation: PMID 3894020%2C9298646%2C9740056;gbkey=CDS;gene=carA;go_process=arginine biosynthetic process|0006526||,pyrimidine nucleotide biosynthetic process|0006221||;product=carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase;protein_id=NP_414573.1;transl_table=11	32.0	0.0	13.0	4.0	9.0	14.0	15.0	22.0	11.0	20.0	24.0	30.0	20.0	15.0	8.0	8.0	6.0	7.0	19.0	18.0	17.0	45.0	carA	NP_414573.1
sense	NC_000913.3	RefSeq	CDS	30817	34038	.	+	0	ID=cds31;Parent=gene32;Dbxref=ASAP:ABE-0000121,UniProtKB/Swiss-Prot:P00968,Genbank:NP_414574.1,EcoGene:EG10135,GeneID:944775;Name=NP_414574.1;Ontology_term=GO:0006526,GO:0006221;gbkey=CDS;gene=carB;go_process=arginine biosynthetic process|0006526||,pyrimidine nucleotide biosynthetic process|0006221||;product=carbamoyl-phosphate synthase large subunit;protein_id=NP_414574.1;transl_table=11	143.0	15.0	44.0	47.0	81.0	55.0	50.0	71.0	49.0	41.0	36.0	61.0	60.0	53.0	38.0	35.0	26.0	30.0	53.0	58.0	61.0	282.0	carB	NP_414574.1
sense	NC_000913.3	RefSeq	CDS	34300	34695	.	+	0	ID=cds32;Parent=gene33;Dbxref=ASAP:ABE-0000125,UniProtKB/Swiss-Prot:P0AE58,Genbank:NP_414576.4,EcoGene:EG13451,GeneID:944795;Name=NP_414576.4;Note=transcriptional regulator of cai operon;Ontology_term=GO:0005737,GO:0009310,GO:0006350,GO:0016563;gbkey=CDS;gene=caiF;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||;go_process=amine catabolic process|0009310||,transcription|0006350||;product=cai operon transcriptional activator;protein_id=NP_414576.4;transl_table=11	36.0	2.0	42.0	29.0	62.0	54.0	62.0	55.0	23.0	30.0	40.0	29.0	40.0	30.0	25.0	32.0	22.0	37.0	70.0	56.0	88.0	155.0	caiF	NP_414576.4
sense	NC_000913.3	RefSeq	CDS	34781	35371	.	-	0	ID=cds33;Parent=gene34;Dbxref=ASAP:ABE-0000128,UniProtKB/Swiss-Prot:P39206,Genbank:NP_414577.2,EcoGene:EG12608,GeneID:948999;Name=NP_414577.2;Note=possible synthesis of cofactor for carnitine racemase and dehydratase;Ontology_term=GO:0009310,GO:0042413;gbkey=CDS;gene=caiE;go_process=amine catabolic process|0009310||,carnitine catabolic process|0042413||;product=stimulator of CaiD and CaiB enzyme activities;protein_id=NP_414577.2;transl_table=11	32.0	11.0	30.0	22.0	33.0	35.0	32.0	33.0	20.0	42.0	37.0	44.0	24.0	22.0	10.0	6.0	3.0	5.0	8.0	10.0	9.0	28.0	caiE	NP_414577.2
sense	NC_000913.3	RefSeq	CDS	35377	36162	.	-	0	ID=cds34;Parent=gene35;Dbxref=ASAP:ABE-0000130,UniProtKB/Swiss-Prot:P31551,Genbank:NP_414578.2,EcoGene:EG11557,GeneID:948995;Name=NP_414578.2;Note=carnitine racemase;Ontology_term=GO:0009310,GO:0042413;gbkey=CDS;gene=caiD;go_process=amine catabolic process|0009310||,carnitine catabolic process|0042413||;product=carnitinyl-CoA dehydratase;protein_id=NP_414578.2;transl_table=11	28.0	0.0	2.0	3.0	4.0	6.0	3.0	7.0	3.0	3.0	8.0	6.0	5.0	2.0	2.0	0.0	4.0	3.0	2.0	4.0	6.0	18.0	caiD	NP_414578.2
sense	NC_000913.3	RefSeq	CDS	36271	37824	.	-	0	ID=cds35;Parent=gene36;Dbxref=ASAP:ABE-0000133,UniProtKB/Swiss-Prot:P31552,Genbank:NP_414579.4,EcoGene:EG11558,GeneID:944886;Name=NP_414579.4;Note=probable crotonobetaine/carnitine-CoA ligase;Ontology_term=GO:0009274,GO:0019866,GO:0009310;gbkey=CDS;gene=caiC;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=amine catabolic process|0009310||;product=putative crotonobetaine/carnitine-CoA ligase;protein_id=NP_414579.4;transl_table=11	107.0	8.0	10.0	11.0	19.0	19.0	9.0	22.0	16.0	13.0	9.0	16.0	19.0	14.0	10.0	4.0	2.0	12.0	16.0	22.0	28.0	57.0	caiC	NP_414579.4
